gid	color
gene-THAPSDRAFT_870	purple
gene-THAPSDRAFT_869	lightgreen
gene-THAPSDRAFT_20563	yellow
gene-THAPSDRAFT_31076	blue
gene-THAPSDRAFT_873	yellow
gene-THAPSDRAFT_874	yellow
gene-THAPSDRAFT_20564	blue
gene-THAPSDRAFT_875	yellow
gene-THAPSDRAFT_30854	blue
gene-THAPSDRAFT_20565	blue
gene-THAPSDRAFT_879	brown
gene-THAPSDRAFT_20570	blue
gene-THAPSDRAFT_887	green
gene-THAPSDRAFT_20571	salmon
gene-THAPSDRAFT_267922	brown
gene-THAPSDRAFT_20567	midnightblue
gene-THAPSDRAFT_20365	red
gene-THAPSDRAFT_882	turquoise
gene-THAPSDRAFT_260744	red
gene-THAPSDRAFT_20569	green
gene-THAPSDRAFT_885	tan
gene-THAPSDRAFT_889	turquoise
gene-THAPSDRAFT_31174	turquoise
gene-THAPSDRAFT_16912	blue
gene-THAPSDRAFT_20572	magenta
gene-THAPSDRAFT_38933	turquoise
gene-THAPSDRAFT_260748	blue
gene-THAPSDRAFT_260749	grey
gene-THAPSDRAFT_900	blue
gene-THAPSDRAFT_20578	blue
gene-THAPSDRAFT_31021	tan
gene-THAPSDRAFT_20579	red
gene-THAPSDRAFT_20580	blue
gene-THAPSDRAFT_31266	blue
gene-THAPSDRAFT_904	turquoise
gene-THAPSDRAFT_30833	blue
gene-THAPSDRAFT_896	greenyellow
gene-THAPSDRAFT_20576	turquoise
gene-THAPSDRAFT_20577	salmon
gene-THAPSDRAFT_899	turquoise
gene-THAPSDRAFT_907	turquoise
gene-THAPSDRAFT_908	red
gene-THAPSDRAFT_909	turquoise
gene-THAPSDRAFT_20582	turquoise
gene-THAPSDRAFT_260754	turquoise
gene-THAPSDRAFT_912	turquoise
gene-THAPSDRAFT_20583	blue
gene-THAPSDRAFT_913	yellow
gene-THAPSDRAFT_914	red
gene-THAPSDRAFT_915	black
gene-THAPSDRAFT_916	magenta
gene-THAPSDRAFT_924	blue
gene-THAPSDRAFT_31160	turquoise
gene-THAPSDRAFT_921	turquoise
gene-THAPSDRAFT_20584	red
gene-THAPSDRAFT_923	black
gene-THAPSDRAFT_20587	cyan
gene-THAPSDRAFT_931	turquoise
gene-THAPSDRAFT_20585	brown
gene-THAPSDRAFT_926	blue
gene-THAPSDRAFT_260757	blue
gene-THAPSDRAFT_928	green
gene-THAPSDRAFT_38945	turquoise
gene-THAPSDRAFT_31652	red
gene-THAPSDRAFT_260786	blue
gene-THAPSDRAFT_20618	blue
gene-THAPSDRAFT_30846	turquoise
gene-THAPSDRAFT_260787	turquoise
gene-THAPSDRAFT_20619	tan
gene-THAPSDRAFT_1009	turquoise
gene-THAPSDRAFT_1010	turquoise
gene-THAPSDRAFT_1011	turquoise
gene-THAPSDRAFT_20620	salmon
gene-THAPSDRAFT_20621	magenta
gene-THAPSDRAFT_1017	green
gene-THAPSDRAFT_260789	turquoise
gene-THAPSDRAFT_1014	magenta
gene-THAPSDRAFT_1015	red
gene-THAPSDRAFT_31200	black
gene-THAPSDRAFT_932	turquoise
gene-THAPSDRAFT_38948	turquoise
gene-THAPSDRAFT_934	turquoise
gene-THAPSDRAFT_935	grey
gene-THAPSDRAFT_20589	red
gene-THAPSDRAFT_937	yellow
gene-THAPSDRAFT_260758	red
gene-THAPSDRAFT_20590	green
gene-THAPSDRAFT_940	turquoise
gene-THAPSDRAFT_267929	turquoise
gene-THAPSDRAFT_942	turquoise
gene-THAPSDRAFT_943	turquoise
gene-THAPSDRAFT_31276	green
gene-THAPSDRAFT_20593	yellow
gene-THAPSDRAFT_260761	turquoise
gene-THAPSDRAFT_15791	lightcyan
gene-THAPSDRAFT_18104	magenta
