Module	TopHub
black	gene-THAPSDRAFT_270242|PsbM
blue	gene-THAPSDRAFT_269717
brown	gene-THAPS_25423
cyan	gene-THAPS_7070
green	gene-THAPS_11019
greenyellow	gene-THAPS_25346
grey60	gene-THAPSDRAFT_21645
lightcyan	gene-THAPSDRAFT_9684
lightgreen	gene-THAPS_23642
lightyellow	gene-THAPSDRAFT_28704
magenta	gene-THAPSDRAFT_20739
midnightblue	gene-THAPSDRAFT_3233
pink	gene-THAPSDRAFT_23039
purple	gene-THAPS_7180
red	gene-THAPSDRAFT_10203
royalblue	gene-THAPSDRAFT_263425
salmon	gene-THAPSDRAFT_37126
tan	gene-THAPSDRAFT_11794
turquoise	gene-THAPSDRAFT_38559|GSK-3
yellow	gene-THAPSDRAFT_33205
